"","X","AIC.full","AIC.disc","AIC.cont","Variable","Model","log10_pvalue"
"1","GSE12225.GPL3676_eset",NA,NA,NA,"MSI status","PCSS",NA
"2","GSE12945_eset",NA,NA,NA,"MSI status","PCSS",NA
"3","GSE13067_eset",NA,NA,NA,"MSI status","PCSS",NA
"4","GSE13294_eset",99.4642998083824,139.410111183033,104.1922641955,"MSI status","PCSS",0.0126844131763054
"5","GSE14095_eset",NA,NA,NA,"MSI status","PCSS",NA
"6","GSE14333_eset",NA,NA,NA,"MSI status","PCSS",NA
"7","GSE17536_eset",NA,NA,NA,"MSI status","PCSS",NA
"8","GSE17538.GPL570_eset",NA,NA,NA,"MSI status","PCSS",NA
"9","GSE2109_eset",NA,NA,NA,"MSI status","PCSS",NA
"10","GSE21510_eset",NA,NA,NA,"MSI status","PCSS",NA
"11","GSE21815_eset",NA,NA,NA,"MSI status","PCSS",NA
"12","GSE26682.GPL570_eset",57.4463042485681,77.5914879831107,55.5318322280689,"MSI status","PCSS",0.192851392093023
"13","GSE26682.GPL96_eset",81.9799044057769,91.8440647037708,76.1019885388955,"MSI status","PCSS",0.71331628881275
"14","GSE33113_eset",NA,NA,NA,"MSI status","PCSS",NA
"15","GSE39582_eset",193.992938836338,223.81008810328,210.006301981806,"MSI status","PCSS",7.93836301648917e-05
"16","TCGA.COAD_eset",NA,NA,NA,"MSI status","PCSS",NA
"17","TCGA.RNASeqV2_eset",82.031656225482,129.885764193513,78.9745741857903,"MSI status","PCSS",0.293204776203422
"18","NHS.HPFS_eset",475.052464618635,532.030012106201,475.188792638879,"MSI status","PCSS",0.0867100585560529
"19","GSE12225.GPL3676_eset",NA,NA,NA,"tumor location","PCSS",NA
"20","GSE12945_eset",67.6112674759941,69.554970435329,61.4991686294231,"tumor location","PCSS",0.756367209029275
"21","GSE13067_eset",NA,NA,NA,"tumor location","PCSS",NA
"22","GSE13294_eset",NA,NA,NA,"tumor location","PCSS",NA
"23","GSE14095_eset",NA,NA,NA,"tumor location","PCSS",NA
"24","GSE14333_eset",186.575060213286,188.08185049264,182.644320372342,"tumor location","PCSS",0.396713648373972
"25","GSE17536_eset",NA,NA,NA,"tumor location","PCSS",NA
"26","GSE17538.GPL570_eset",NA,NA,NA,"tumor location","PCSS",NA
"27","GSE2109_eset",NA,NA,NA,"tumor location","PCSS",NA
"28","GSE21510_eset",NA,NA,NA,"tumor location","PCSS",NA
"29","GSE21815_eset",NA,NA,NA,"tumor location","PCSS",NA
"30","GSE26682.GPL570_eset",NA,NA,NA,"tumor location","PCSS",NA
"31","GSE26682.GPL96_eset",NA,NA,NA,"tumor location","PCSS",NA
"32","GSE33113_eset",NA,NA,NA,"tumor location","PCSS",NA
"33","GSE39582_eset",643.81850040555,690.644276549812,636.409623965641,"tumor location","PCSS",0.964044935396493
"34","TCGA.COAD_eset",128.979525902054,125.462538970711,135.720870717749,"tumor location","PCSS",0.0052688761622936
"35","TCGA.RNASeqV2_eset",203.304023438743,212.263876783952,197.013776498882,"tumor location","PCSS",0.788945214768948
"36","NHS.HPFS_eset",914.153369010155,929.401875480545,917.662626231859,"tumor location","PCSS",0.0213992239669233
"37","GSE12225.GPL3676_eset",NA,NA,NA,"grade","PCSS",NA
"38","GSE12945_eset",92.9738027134277,93.3162169080753,90.4146422281663,"grade","PCSS",0.2449788846025
"39","GSE13067_eset",NA,NA,NA,"grade","PCSS",NA
"40","GSE13294_eset",NA,NA,NA,"grade","PCSS",NA
"41","GSE14095_eset",NA,NA,NA,"grade","PCSS",NA
