"","X","AIC.full","AIC.disc","AIC.cont","Variable","Model","log10_pvalue"
"1","GSE12225.GPL3676_eset",NA,NA,NA,"MSI status","RAV",NA
"2","GSE12945_eset",NA,NA,NA,"MSI status","RAV",NA
"3","GSE13067_eset",NA,NA,NA,"MSI status","RAV",NA
"4","GSE13294_eset",138.172262573304,139.410111183033,209.790102832796,"MSI status","RAV",2.09875024533146e-16
"5","GSE14095_eset",NA,NA,NA,"MSI status","RAV",NA
"6","GSE14333_eset",NA,NA,NA,"MSI status","RAV",NA
"7","GSE17536_eset",NA,NA,NA,"MSI status","RAV",NA
"8","GSE17538.GPL570_eset",NA,NA,NA,"MSI status","RAV",NA
"9","GSE2109_eset",NA,NA,NA,"MSI status","RAV",NA
"10","GSE21510_eset",NA,NA,NA,"MSI status","RAV",NA
"11","GSE21815_eset",NA,NA,NA,"MSI status","RAV",NA
"12","GSE26682.GPL570_eset",79.952653332616,77.5914879831107,117.851539594031,"MSI status","RAV",2.58510927164988e-09
"13","GSE26682.GPL96_eset",87.7676160652025,91.8440647037708,101.312224134172,"MSI status","RAV",0.000246893280481981
"14","GSE33113_eset",NA,NA,NA,"MSI status","RAV",NA
"15","GSE39582_eset",224.992785155871,223.81008810328,426.865337098896,"MSI status","RAV",2.8300825008723e-44
"16","TCGA.COAD_eset",NA,NA,NA,"MSI status","RAV",NA
"17","TCGA.RNASeqV2_eset",133.502907686014,129.885764193513,195.994016631545,"MSI status","RAV",1.7877423515771e-14
"18","NHS.HPFS_eset",535.563661357251,532.030012106201,641.144223520135,"MSI status","RAV",1.25357149286037e-23
"19","GSE12225.GPL3676_eset",NA,NA,NA,"tumor location","RAV",NA
"20","GSE12945_eset",71.9087070128848,69.554970435329,67.1649760936309,"tumor location","RAV",0.515890757547192
"21","GSE13067_eset",NA,NA,NA,"tumor location","RAV",NA
"22","GSE13294_eset",NA,NA,NA,"tumor location","RAV",NA
"23","GSE14095_eset",NA,NA,NA,"tumor location","RAV",NA
"24","GSE14333_eset",190.649937880201,188.08185049264,207.289583344029,"tumor location","RAV",5.94384416373464e-05
"25","GSE17536_eset",NA,NA,NA,"tumor location","RAV",NA
"26","GSE17538.GPL570_eset",NA,NA,NA,"tumor location","RAV",NA
"27","GSE2109_eset",NA,NA,NA,"tumor location","RAV",NA
"28","GSE21510_eset",NA,NA,NA,"tumor location","RAV",NA
"29","GSE21815_eset",NA,NA,NA,"tumor location","RAV",NA
"30","GSE26682.GPL570_eset",NA,NA,NA,"tumor location","RAV",NA
"31","GSE26682.GPL96_eset",NA,NA,NA,"tumor location","RAV",NA
"32","GSE33113_eset",NA,NA,NA,"tumor location","RAV",NA
"33","GSE39582_eset",684.287966890326,690.644276549812,754.930292418143,"tumor location","RAV",3.37729531241626e-16
"34","TCGA.COAD_eset",128.344287629976,125.462538970711,159.994231523992,"tumor location","RAV",5.11338513494823e-08
"35","TCGA.RNASeqV2_eset",213.988942240334,212.263876783952,224.957584506994,"tumor location","RAV",0.000797171900861255
"36","NHS.HPFS_eset",932.606956069836,929.401875480545,991.970381932095,"tumor location","RAV",8.17181398289863e-14
"37","GSE12225.GPL3676_eset",NA,NA,NA,"grade","RAV",NA
"38","GSE12945_eset",90.8269679326633,93.3162169080753,86.0132034312856,"grade","RAV",0.527157015163342
"39","GSE13067_eset",NA,NA,NA,"grade","RAV",NA
"40","GSE13294_eset",NA,NA,NA,"grade","RAV",NA
"41","GSE14095_eset",NA,NA,NA,"grade","RAV",NA
"42","GSE14333_eset",NA,NA,NA,"grade","RAV",NA
"43","GSE17536_eset",148.11791242503,144.908798042498,154.453566754261,"grade","RAV",0.00629736338161982
"44","GSE17538.GPL570_eset",30.3275122665996,27.789933797245,32.4794384328294,"grade","RAV",0.0379448088287544
"45","GSE2109_eset",350.787812534434,362.241712747604,351.623939233023,"grade","RAV",0.0653286291823138
"46","GSE21510_eset",NA,NA,NA,"grade","RAV",NA
"47","GSE21815_eset",NA,NA,NA,"grade","RAV",NA
"48","GSE26682.GPL570_eset",NA,NA,NA,"grade","RAV",NA
"49","GSE26682.GPL96_eset",NA,NA,NA,"grade","RAV",NA
"50","GSE33113_eset",NA,NA,NA,"grade","RAV",NA
"51","GSE39582_eset",NA,NA,NA,"grade","RAV",NA
"52","TCGA.COAD_eset",NA,NA,NA,"grade","RAV",NA
"53","TCGA.RNASeqV2_eset",NA,NA,NA,"grade","RAV",NA
"54","NHS.HPFS_eset",451.186745336553,457.48430664102,448.732184629739,"grade","RAV",0.235764108627901
"55","GSE12225.GPL3676_eset",47.3119340316223,45.438567597288,44.2086513946389,"stage","RAV",0.298060048376277
"56","GSE12945_eset",89.5152993954423,92.1038074222848,87.5629073509694,"stage","RAV",0.195620981562532
"57","GSE13067_eset",NA,NA,NA,"stage","RAV",NA
