"","X","AIC.full","AIC.disc","AIC.cont","Variable","Model","log10_pvalue"
"1","GSE12225.GPL3676_eset",NA,NA,NA,"MSI status","RAV",NA
"2","GSE12945_eset",NA,NA,NA,"MSI status","RAV",NA
"3","GSE13067_eset",NA,NA,NA,"MSI status","RAV",NA
"4","GSE13294_eset",105.207088733093,139.410111183033,112.084516909462,"MSI status","RAV",0.00496230886090875
"5","GSE14095_eset",NA,NA,NA,"MSI status","RAV",NA
"6","GSE14333_eset",NA,NA,NA,"MSI status","RAV",NA
"7","GSE17536_eset",NA,NA,NA,"MSI status","RAV",NA
"8","GSE17538.GPL570_eset",NA,NA,NA,"MSI status","RAV",NA
"9","GSE2109_eset",NA,NA,NA,"MSI status","RAV",NA
"10","GSE21510_eset",NA,NA,NA,"MSI status","RAV",NA
"11","GSE21815_eset",NA,NA,NA,"MSI status","RAV",NA
"12","GSE26682.GPL570_eset",64.6107672057209,77.5914879831107,67.0201862288487,"MSI status","RAV",0.0340678583619288
"13","GSE26682.GPL96_eset",84.9469473976024,91.8440647037708,79.8106614921308,"MSI status","RAV",0.580885355223872
"14","GSE33113_eset",NA,NA,NA,"MSI status","RAV",NA
"15","GSE39582_eset",191.066438834912,223.81008810328,217.10046430734,"MSI status","RAV",7.33310756978269e-07
"16","TCGA.COAD_eset",NA,NA,NA,"MSI status","RAV",NA
"17","TCGA.RNASeqV2_eset",83.2789909931909,129.885764193513,79.6493094158579,"MSI status","RAV",0.358202454988213
"18","NHS.HPFS_eset",469.077802418779,532.030012106201,481.242237160035,"MSI status","RAV",0.000463420557036559
"19","GSE12225.GPL3676_eset",NA,NA,NA,"tumor location","RAV",NA
"20","GSE12945_eset",72.48466661322,69.554970435329,66.6236871568749,"tumor location","RAV",0.710207373529563
"21","GSE13067_eset",NA,NA,NA,"tumor location","RAV",NA
"22","GSE13294_eset",NA,NA,NA,"tumor location","RAV",NA
"23","GSE14095_eset",NA,NA,NA,"tumor location","RAV",NA
"24","GSE14333_eset",188.047267833352,188.08185049264,186.602568659863,"tumor location","RAV",0.161339163649064
"25","GSE17536_eset",NA,NA,NA,"tumor location","RAV",NA
"26","GSE17538.GPL570_eset",NA,NA,NA,"tumor location","RAV",NA
"27","GSE2109_eset",NA,NA,NA,"tumor location","RAV",NA
"28","GSE21510_eset",NA,NA,NA,"tumor location","RAV",NA
"29","GSE21815_eset",NA,NA,NA,"tumor location","RAV",NA
"30","GSE26682.GPL570_eset",NA,NA,NA,"tumor location","RAV",NA
"31","GSE26682.GPL96_eset",NA,NA,NA,"tumor location","RAV",NA
"32","GSE33113_eset",NA,NA,NA,"tumor location","RAV",NA
"33","GSE39582_eset",671.785955990099,690.644276549812,668.785722362081,"tumor location","RAV",0.287321467718077
"34","TCGA.COAD_eset",129.072545537181,125.462538970711,141.549990268658,"tumor location","RAV",0.00040187992971445
"35","TCGA.RNASeqV2_eset",207.907466385212,212.263876783952,202.292720994922,"tumor location","RAV",0.66529362296083
"36","NHS.HPFS_eset",916.836755198375,929.401875480545,932.042461114823,"tumor location","RAV",0.000115189755150693
"37","GSE12225.GPL3676_eset",NA,NA,NA,"grade","RAV",NA
"38","GSE12945_eset",92.3298892292968,93.3162169080753,88.8493025109322,"grade","RAV",0.340251769468985
"39","GSE13067_eset",NA,NA,NA,"grade","RAV",NA
"40","GSE13294_eset",NA,NA,NA,"grade","RAV",NA
"41","GSE14095_eset",NA,NA,NA,"grade","RAV",NA
"42","GSE14333_eset",NA,NA,NA,"grade","RAV",NA
"43","GSE17536_eset",146.220485913256,144.908798042498,140.176077906627,"grade","RAV",0.743926599978388
"44","GSE17538.GPL570_eset",30.9975867408583,27.789933797245,26.8313099738554,"grade","RAV",0.428976402631292
"45","GSE2109_eset",361.238417794493,362.241712747604,359.02548701829,"grade","RAV",0.215624410256733
"46","GSE21510_eset",NA,NA,NA,"grade","RAV",NA
"47","GSE21815_eset",NA,NA,NA,"grade","RAV",NA
"48","GSE26682.GPL570_eset",NA,NA,NA,"grade","RAV",NA
"49","GSE26682.GPL96_eset",NA,NA,NA,"grade","RAV",NA
"50","GSE33113_eset",NA,NA,NA,"grade","RAV",NA
"51","GSE39582_eset",NA,NA,NA,"grade","RAV",NA
"52","TCGA.COAD_eset",NA,NA,NA,"grade","RAV",NA
"53","TCGA.RNASeqV2_eset",NA,NA,NA,"grade","RAV",NA
"54","NHS.HPFS_eset",447.976150825181,457.48430664102,451.948826785538,"grade","RAV",0.0175556146822257
"55","GSE12225.GPL3676_eset",47.3702620608549,45.438567597288,48.1840600146659,"stage","RAV",0.0659259424904367
"56","GSE12945_eset",92.1192595423429,92.1038074222848,88.622936942496,"stage","RAV",0.342111657993365
"57","GSE13067_eset",NA,NA,NA,"stage","RAV",NA
"58","GSE13294_eset",NA,NA,NA,"stage","RAV",NA
