"","AIC.full","AIC.disc","LR.disc","AIC.cont","LR.cont"
"GSE12225.GPL3676_eset",NA,NA,NA,NA,NA
"GSE12945_eset",NA,NA,NA,NA,NA
"GSE13067_eset",NA,NA,NA,NA,NA
"GSE13294_eset",107.300416368881,104.1922641955,0.640232483379284,112.084516909462,0.0123753304198469
"GSE14095_eset",NA,NA,NA,NA,NA
"GSE14333_eset",NA,NA,NA,NA,NA
"GSE17536_eset",NA,NA,NA,NA,NA
"GSE17538.GPL570_eset",NA,NA,NA,NA,NA
"GSE2109_eset",NA,NA,NA,NA,NA
"GSE21510_eset",NA,NA,NA,NA,NA
"GSE21815_eset",NA,NA,NA,NA,NA
"GSE26682.GPL570_eset",58.4907605261616,55.5318322280689,0.594202058906551,67.0201862288487,0.00190225957131687
"GSE26682.GPL96_eset",79.5920914013006,76.1019885388955,0.774956353873322,79.8106614921308,0.121324677066731
"GSE33113_eset",NA,NA,NA,NA,NA
"GSE39582_eset",206.080150396488,210.006301981806,0.0190045701855351,217.10046430734,0.000547495149635596
"TCGA.COAD_eset",NA,NA,NA,NA,NA
"TCGA.RNASeqV2_eset",77.7045013774135,78.9745741857903,0.071716358585241,79.6493094158579,0.0511801243178204
"NHS.HPFS_eset",470.849252202426,475.188792638879,0.0154558111796196,481.242237160035,0.000749209071810506
